0,51264
1,51232
2,536870928
3,0
4,51264
5,51232
6,536903688
7,0
8,51264
9,51232
10,268501000
11,0
12,51264
13,604012544
14,0
15,0
16,51264
17,335609856
18,0
19,0
20,51264
21,671088640
22,0
23,0
24,51264
25,553648128
26,0
27,0
28,51264
29,545259520
30,0
31,0
32,51264
33,51232
34,541065220
35,0
36,51264
37,574619648
38,0
39,0
40,51264
41,572522496
42,0
43,0
44,51264
45,571473920
46,0
47,0
48,51264
49,570949632
50,0
51,0
52,51264
53,570687488
54,0
55,0
56,51264
57,33685504
58,0
59,0
60,51264
61,536870914
62,0
63,0
64,51264
65,1
66,0
67,0
68,51264
69,51232
70,8208
71,0
72,51264
73,51232
74,70784
75,8208
76,51264
77,512
78,41088
79,0
80,51264
81,536871168
82,0
83,0
84,51264
85,268502144
86,0
87,0
88,51264
89,512
90,536903808
91,0
92,51264
93,0
94,0
95,0
96,51264
97,0
98,0
99,0
100,51264
101,0
102,0
103,0
104,51264
105,0
106,0
107,0
108,51264
109,0
110,0
111,0
112,51264
113,0
114,0
115,0
116,51264
117,0
118,0
119,0
120,51264
121,0
122,0
123,0
124,51264
125,0
126,0
127,0
